LAD22CD,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,LSOA_fraction
E06000001,62452.17666594214,62734.07515847669,63021.48685111384,63303.644495484565,63586.51991774055,63868.4511306332,64132.18918933332,64425.17273667595,64723.150615596984,65006.04615799777,65289.057353805096,65572.19985335476,65855.47148209158,66138.87513835385,66416.52295011104,66694.28713981832,66972.16251263571,67250.15130240876,67528.25870566239,67806.81860387341,68089.61540444262,68372.53081870945,68655.56412261669,68938.71452853087,69221.62874258646,69504.65782414928,69787.80111035866,70071.0630095045,70354.43754062783,1.5104432182678125
E06000002,54905.40061960049,55153.446792566094,55406.34248858852,55654.619672088935,55903.32665798583,56151.203376399964,56383.084666428564,56640.67826889999,56902.66341874634,57151.387511538866,57400.21298070499,57649.15517327534,57898.20963339282,58147.380816914534,58391.49442326432,58635.710341078,58880.02499494936,59124.43794465298,59368.95535127155,59613.86914659128,59862.50671102877,60111.24917260668,60360.0956508741,60609.04504578582,60857.78514542874,61106.6273915806,61355.569749105896,61604.61551814031,61853.7618387736,0.44022545220388387
E06000003,43965.64700262314,44162.31433429746,44362.84754592722,44559.66646444298,44758.69073187801,44957.04919374124,45142.600379605734,45348.737080097795,45558.38881728181,45757.426573647455,45956.544553656335,46155.7555172166,46355.055234062784,46554.44793446035,46749.76796262061,46945.16892128862,47140.64797017295,47336.20441428714,47531.84391049056,47727.825941442126,47926.78783112072,48125.83347508685,48324.961468920315,48524.171097003986,48723.22163390732,48922.35309253317,49121.56406486181,49320.85668329957,49520.229503204624,0.7094326125606578
E06000004,93364.29925711495,93787.76303394011,94219.48792266293,94643.37306736791,95066.39266461211,95488.00103557792,95882.40918328146,96320.54298160483,96766.14542790483,97189.19429967976,97612.41640060616,98035.83710819804,98459.45000410166,98883.26153645867,99298.48855827385,99713.8903291172,100129.46066973064,100545.19947759848,100961.11628079122,101377.68885771406,101800.59548641343,102223.68048736811,102646.94310244096,103070.38122447075,103493.45745289362,103916.70781749972,104340.12910814861,104763.7272805473,105187.49634324924,0.6130533192458739
E06000005,47641.150767390514,47857.65677314395,48078.38196000567,48295.11022039097,48510.985549051264,48726.140953940194,48927.41644821824,49151.004697287266,49378.404324864016,49594.294599463625,49810.27335833383,50026.353669730306,50242.53203727046,50458.8119573369,50670.711593151515,50882.70053769216,51094.775646380156,51306.93672065463,51519.18875256599,51731.77450274908,51947.59241964403,52163.501507842695,52379.50138532923,52595.59095355762,52811.495151080235,53027.488443662034,53243.56896872534,53459.739840636925,53675.99815869684,0.21366682871232892
E06000006,49529.33381854686,49750.858631153555,49976.738710591024,50198.43378141166,50419.317490338275,50639.42385249646,50845.07691262133,51073.88880910489,51306.630084137505,51527.526869161025,51748.48739877785,51969.52524764542,52190.63706787422,52411.82638269149,52628.6670374193,52845.57472191986,53062.54592541301,53279.5807205405,53496.68424946128,53714.16346663057,53934.973241180225,54155.851897365166,54376.79915455008,54597.81342645907,54818.718581573296,55039.6910771929,55260.729206695774,55481.836262979916,55703.00920628687,0.3859328705410963
E06000007,85973.80489455383,86369.19423894341,86772.23799643324,87168.10838331902,87557.49997312283,87945.59045523783,88308.6267602684,88711.93388000631,89122.11722514137,89511.53583399601,89901.11206016366,90290.86956652037,90680.80233603332,91070.9169340028,91453.09227983192,91835.42667881366,92217.914740554,92600.55514261377,92983.35858467675,93366.8046876577,93756.08201517773,94145.52235202398,94535.12507607829,94924.88745425112,95314.33097812369,95703.93289896872,96093.69102986147,96483.61029033258,96873.68583518565,0.6998374282884618
E06000008,47646.94459455916,47859.65477105122,48076.551330968105,48289.41838093825,48505.042075087316,48719.94371775359,48920.96555455348,49144.2952897385,49371.433791473595,49587.071908778795,49802.79674028984,50018.62126159222,50234.54217816346,50450.56278529931,50662.30693562375,50874.13940438817,51086.057030785305,51298.059676352575,51510.1524888571,51722.505864812396,51938.08918773621,52153.76204105981,52369.52423430402,52585.37438063395,52801.026217410945,53016.765453865366,53232.590450295495,53448.503826019114,53664.5031546228,0.4743556029755109
E06000009,67337.32732259107,67633.16105346747,67934.8700572337,68230.84399539397,68535.49091545996,68839.11804442323,69123.1323852249,69438.6676182529,69759.5841803463,70064.25180967178,70369.04173557024,70673.9724284623,70979.03913081536,71284.24660016202,71583.21554501311,71882.30818571146,72181.51920501476,72480.84860292301,72780.30365566253,73080.2907124872,73384.84108262717,73689.51766730812,73994.31990682032,74299.24612203464,74603.93306134535,74908.74313679358,75213.6741095405,75518.73045726381,75823.90770228581,0.8395645741395394
E06000010,130005.78863691787,130605.66139156195,131217.1252107682,131817.75836528622,132407.28684664442,132994.852976474,133544.53714081965,134155.12521314155,134776.1188995447,135365.6887905223,135955.50142472202,136545.5945919307,137135.9574105538,137726.60076218584,138306.99806615608,138887.65532964992,139468.56331325558,140049.72246945216,140631.1457523991,141212.040234451,141801.7627148316,142391.7381777194,142981.96662311436,143572.44388378967,144162.05282707617,144751.90596593719,145342.000038104,145932.34247307212,146522.92438899365,0.9998733222622282
