LAD22CD,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,LSOA_fraction
E06000001,608.0306497448066,808.2608885955177,1150.3922871735367,1671.3795202297854,2412.315884596169,3476.186077310517,5042.61359692033,7210.6546940718345,9909.330374121719,12710.113397505263,15515.753647471116,18314.944463203294,21108.3161396245,24367.43249973787,27648.8865586292,30905.68453856987,34158.52188359439,37403.99654356808,40671.97508688832,43592.39297025526,45968.741936722676,47890.99536849822,49337.12788366799,50443.372351024525,51381.13264477653,52246.07521555501,53104.49027259735,53899.94663677076,54149.58564340685,1.5104432182678125
E06000002,534.5174098655361,710.9770922856359,1012.2833421389237,1470.7607032550427,2122.870462349303,3059.112889187866,4437.29096972275,6344.60414005723,8718.837234556855,11182.338956361411,13650.349901657497,16112.924828610563,18570.587535006078,21437.942199098226,24325.216827860313,27191.016098597844,30053.43147261617,32909.39193581805,35785.326191983564,38354.06967172977,40444.270936558394,42135.13064721487,43407.27602080658,44380.50795493738,45204.73211320429,45964.87999053559,46719.249684554816,47418.24400967793,47637.31328226176,0.44022545220388387
E06000003,428.4452947080794,565.8389651824884,802.3520878294175,1165.3540880619596,1681.0310318086506,2422.2076851459847,3516.2458814897996,5031.971619065471,6917.817972643781,8879.75719671997,10843.108678127075,12799.969978156389,14751.037689633264,17028.08510091563,19318.50069849256,21589.88570614843,23857.645125764266,26120.090377339948,28396.793026050087,30442.439376357084,32106.907612211115,33452.69834511671,34464.3812402399,35237.62327596521,35899.61207930819,36510.83099703645,37117.80211413184,37680.62652435512,37859.76315504972,0.7094326125606578
E06000004,907.0979539844295,1210.3536251116973,1726.6948838923063,2510.2790349289403,3624.265786773698,5223.034476637859,7574.313970269973,10827.183642850032,14877.18142099143,19075.277251867108,23282.623034559354,27482.251453848956,31674.840029519073,36565.81897974604,41492.693830188946,46384.34765477629,51270.88732294979,56146.498455881156,61057.32121073911,65434.290035997525,68995.78852753756,71877.20806759145,74045.54206555309,75704.74709516729,77104.42004616847,78394.68902965503,79674.82492601762,80860.62321528034,81229.72318778643,0.6130533192458739
E06000005,460.92521786663787,616.3316199025834,880.7326226405875,1282.0226877228654,1851.2938476183917,2668.2473587867403,3869.5920783051843,5531.549318221812,7600.988499732707,9745.302437048786,11894.437895748248,14039.719095726978,16181.461859470672,18679.95894797273,21197.100104302514,23696.32416757823,26192.956223388075,28683.947009269406,31192.981772400126,33427.97161065459,35246.403825292036,36717.473452761806,37824.32834360668,38671.11871726719,39384.66483693741,40042.288618178136,40694.68079571786,41298.88230042577,41486.11015946133,0.21366682871232892
E06000006,468.26941801508406,628.8513797812977,901.1657142481321,1313.878350117138,1898.4281555220955,2736.3037099795833,3969.372787671106,5676.0133192413205,7803.7813680238505,10011.498945883272,12224.739630781061,14434.668277892324,16641.7040161383,19231.003676669025,21832.97235239461,24412.274003957275,26988.107285200593,29554.76458605541,32136.802201682753,34460.60561779032,36360.153922551595,37903.325718977656,39069.02207532544,39960.00494012151,40714.3565495438,41411.656806914434,42104.43253336093,42752.25774446476,42961.07389212106,0.3859328705410963
E06000007,795.8763456410003,1083.4449572735637,1562.7897587444133,2275.9049040615546,3278.8765866774834,4712.754176277976,6809.132267346711,9703.730322459689,13313.327947541367,17041.692938094715,20784.615146506483,24527.289435871076,28269.74451154017,32648.49658541273,37051.2294997719,41421.371901967446,45786.22483164604,50135.37707735471,54515.02229397632,58444.6558967699,61659.41711337366,64277.1415239341,66263.48353802557,67792.58004368408,69090.39616515828,70292.61230848082,71487.44334062183,72605.88412563593,72990.21256301309,0.6998374282884618
E06000008,496.0509462998633,648.4284507379231,908.1334677867511,1297.4745715732538,1865.9178682416195,2679.078692326466,3870.1761669645393,5511.599983490774,7546.869901644576,9670.045035352141,11796.909747317042,13918.912927286254,16036.373944813098,18505.56142725565,20999.37600645978,23475.853562330725,25949.879824363885,28418.329891357207,30904.964753737477,33134.067891969375,34952.97142324314,36429.823909531086,37547.29671965566,38407.90697924126,39143.91110453302,39825.3896580428,40502.66600853956,41133.38791620417,41349.17808708,0.4743556029755109
E06000009,726.2331515507333,949.3866168084425,1329.1199945626079,1897.6081978428372,2716.6107161422674,3881.685110160312,5579.780581878919,7906.306928632454,10772.131217697677,13787.591100811791,16802.23492715984,19803.827162493177,22792.674247881358,26275.36357040816,29807.832355664847,33313.06314744272,36812.223327639855,40300.2855835863,43811.57327405688,46967.568430945925,49542.551319947444,51633.12336038136,53214.58372291192,54431.812707840094,55480.392479808834,56452.00488958847,57417.86180435752,58318.420744808296,58631.179257934775,0.8395645741395394
E06000010,1317.8695507732066,1775.6016177611878,2557.51366373688,3756.698025981994,5364.829402385724,7642.51028267091,10956.808060415788,15477.70971185349,21008.84919671537,26828.443740163955,32604.383388210346,38312.01533924191,43951.457781196645,50481.52839794267,57104.88897983147,63641.00780855532,70127.88698401288,76560.25136958844,83001.82435820682,88868.96536452226,93613.7291497437,97427.00699487302,100271.63848040935,102433.4462396978,104345.45363366521,106110.13655676435,107861.3033398168,109478.65765239808,110004.06965265716,0.9998733222622282
E06000011,1671.8311620682598,2251.839891280815,3243.048864877389,4763.970856865735,6795.781416765418,9668.850266455005,13844.953925742928,19532.295416596044,26476.92572084123,33801.00213116531,41062.99909069956,48231.77273378599,55307.410890389445,63500.569405499606,71827.66482289079,80041.37605407111,88190.60993775752,96268.01159566676,104353.71580662219,111724.02746761912,117682.73734116304,122469.30006210574,126036.54627710307,128743.18170560888,131144.73766236787,133361.0993440262,135560.47270898818,137592.46789273297,138250.44250791494,1.8184888292115435
E06000012,693.3906474938711,943.2759628100491,1366.240564861486,2010.7635485817832,2895.1384799947323,4161.879999771277,6021.853854667145,8591.86677680805,11787.569087585889,15100.458569753273,18415.404060056117,21719.02559931072,25011.90572552713,28850.905082952373,32684.108828853703,36476.59986875194,40252.49192116109,44007.15558416879,47777.01437376934,51204.47508674297,53994.44394410515,56252.96461451781,57953.98514532055,59256.78783712588,60381.32924771467,61421.357264198945,62454.481239311244,63414.82318275889,63734.18123998605,0.9194266203456104
E06000013,786.9199999613087,1061.5730636157796,1530.823100030092,2251.0562948762586,3221.034105798763,4592.268532570239,6593.036976343849,9325.179811452692,12676.026595607473,16224.940536004937,19753.004112523085,23245.687583941868,26703.698406889132,30770.277395354773,34896.552411338474,38963.64309311999,43008.883107101065,47019.30437503602,51033.45932147917,54705.994811690696,57704.43592928394,60132.44614161334,61952.73973757668,63323.59830278534,64518.1600937553,65622.36583215605,66719.81765434325,67751.91214088978,68076.00568190053,0.8768010404386926
E06000014,1232.2364835116803,1635.5823673112648,2325.342741894088,3373.737056784206,4811.841078071486,6846.710937202229,9802.875516308684,13830.728062831375,18753.736079894283,23944.539092627605,29099.069072507762,34195.34539461306,39233.314634051814,45063.5358225997,51006.85710264441,56882.15365280838,62721.839239548244,68521.37599902574,74338.55317839752,79598.86206855207,83855.22808693074,87279.30860590497,89838.26919954394,91788.53749169504,93507.91429860111,95095.56506459738,96671.2021766427,98126.3265637009,98605.87863418783,1.4223572036839123
E06000015,1138.5665395330009,1477.7643343789734,2057.1958799718873,2920.470497026341,4135.834316142408,5846.159370469068,8310.257995518909,11645.18488428284,15695.632086406282,20098.229222592672,24514.869594157084,28928.3697884742,33339.576725781866,38493.43495811552,43604.867727788056,48663.85508652385,53702.12492932357,58710.71928598976,63741.061106779125,68375.45398927991,72174.44283569668,75275.45792546944,77638.4277849479,79468.68273495897,80995.95779349768,82411.27507145918,83818.57614121662,85135.6531674238,85589.55582597603,0.41597261190799556
E06000016,1370.781751136724,1802.1892649650906,2534.8711913296893,3627.626364439627,5190.704151389514,7417.800675983601,10657.013895321223,15097.425908661922,20574.70949041268,26390.353611741404,32254.86523324985,38145.57610932304,44063.29863669653,50962.519036369544,57749.142544870294,64486.609568980195,71209.14178102775,77909.95858512091,84657.37584876934,90814.1369329085,95858.06357275996,99977.35146928334,103124.54401343812,105579.81544908923,107597.9234536153,109466.66065090684,111323.77582149458,113052.56471730646,113650.39958871447,0.5401574039695574
E06000017,188.86018182795505,249.1579420211284,352.1194295218928,507.2731626938988,718.4686702557054,1015.5061713156828,1443.684584425596,2022.9957888967826,2725.8056642413553,3487.9036212968012,4250.459106072523,5010.3981287673705,5767.795454047358,6649.53654949963,7523.060556574594,8385.88862361765,9243.129600903645,10093.687218129582,10946.288626735877,11731.60442441825,12371.427540065764,12890.141704859527,13281.816778056207,13582.842652955602,13833.755956113197,14065.140749954606,14294.740455141677,14507.661917793363,14574.682808176047,0.0709101824450829
E06000018,1370.9497387380713,1798.076825625939,2524.496849509403,3612.285975574034,5173.636475945851,7401.609085723127,10649.796134758006,15108.846870653324,20612.548439697654,26489.372707538343,32428.56037070223,38407.079945445956,44425.893581814395,51450.46166491725,58340.45572955453,65188.572029783754,72030.78795756487,78861.57645641768,85747.66406165263,91990.97674661182,97103.27423682525,101275.09487220034,104458.82772542363,106940.14338586233,108936.66577679785,110780.00815736408,112610.01324079723,114306.92703069001,114856.18631075534,0.8341066017559235
E06000019,1057.6389710922754,1385.819433948969,1948.801587419474,2797.892282863787,3965.1621850542806,5601.480619270161,7964.876976991471,11161.065606220585,15040.062340189246,19293.145051082945,23554.535038982052,27807.969696597473,32055.05089483746,37083.73165593789,42089.99962383734,47031.9567322477,51957.63364525968,56847.73569151485,61750.2222733638,66289.1765942486,70031.31240677257,73094.88710356789,75425.92689854719,77205.24327775581,78678.21502429653,80042.24581529181,81399.44950176969,82686.93234695242,83097.82833325221,0.31397098553066016
E06000020,762.8510744411705,1022.3788273495517,1463.7817331273807,2131.0499377624524,3034.332021413841,4308.189130492835,6153.21801739379,8662.470105678392,11729.732831804033,15038.556782571119,18359.800175178003,21680.452663164826,25001.075732051402,28903.48961789261,32763.470751111243,36578.19098054843,40377.0939379297,44149.68625862562,47934.46780746024,51404.34055742216,54246.250885375935,56559.79889725117,58311.20409502927,59650.041237332174,60743.393815923206,61750.93392108186,62750.90247296703,63686.62500835563,63965.09736332863,0.9481119756098199
