LAD22CD,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,LSOA_fraction
E06000001,296.1080197574724,478.20794190503,779.4120476093584,1271.0347290298032,2057.0823861256918,3281.7970658776253,5151.655847525907,7929.685614528346,10253.629743542193,13206.303846865316,16722.308695599066,20783.879933677796,25274.09523141011,30165.917283393883,35110.65319022363,39820.37189395944,44121.703952199074,47713.698426753166,50644.78945092796,52979.99167626729,54718.488923503566,55435.390784571384,55437.36118357353,55278.99683535094,54928.49983647033,54376.34657213479,53631.52832760883,52738.937700981274,51735.52955703764,1.5104432182678125
E06000002,463.52308699848595,738.2266543586688,1185.2680661326651,1905.4924630752887,3045.2201890617766,4806.41163544499,7477.918317939366,11426.02310507051,14774.63576002466,19029.195109185977,24095.47022721631,29947.857089558067,36417.8888735271,43466.601536361166,50591.55927067682,57377.87630539396,63575.74010826072,68751.50878691158,72974.96860426266,76339.8057101807,78844.8353280639,79877.83273522921,79880.67004725977,79652.48219396293,79147.44397204861,78351.8365255516,77278.61614539844,75992.4652655622,74546.63774588011,0.44022545220388387
E06000003,341.8208202237699,572.6678885643914,969.1368882878708,1635.05261637998,2723.355613613046,4448.080069968457,7116.083758900861,11121.634531428972,14381.040394723646,18522.258288004447,23453.568333700903,29150.047450096383,35447.718495908666,42308.65389252704,49243.80296813723,55849.3323010949,61882.08554840912,66919.97188809021,71030.91914788603,74306.11764055221,76744.41303032344,77749.89166978422,77752.65299197409,77530.54432194323,77038.96038635631,76264.54789360463,75219.91808082118,73968.02969659767,72560.7192433008,0.7094326125606578
E06000004,782.45179851483,1221.5941829646908,1918.158821925579,3016.773294108616,4725.2865637462355,7328.032573360663,11231.036350759401,16944.68478347368,21910.645628279555,28220.117338156877,35733.35534430368,44412.3906631111,54007.38630079856,64460.56067660845,75026.8060971819,85090.8508803532,94282.22444119067,101957.84069754073,108221.19181639898,113211.21286916765,116926.14863139969,118458.07379038264,118462.28207642237,118123.8812054015,117374.9142773976,116195.03585269078,114603.45998816699,112696.11094054379,110551.96193711768,0.6130533192458739
E06000005,425.81295308165494,664.1326227092367,1041.638617761913,1636.3467298744085,2560.312755298186,3966.745484388929,6074.403574776386,9158.129618490519,11842.093102819807,15252.186632505785,19312.882355490277,24003.658845874295,29189.486513440337,34839.13587962632,40549.89694895835,45989.23258263541,50956.913694172195,55105.37033591888,58490.53693038121,61187.50433763905,63195.32349896543,64023.28636871134,64025.56071905087,63842.664569910405,63437.868790532375,62800.177434771176,61939.975100294556,60909.10605104542,59750.253338756476,0.21366682871232892
E06000006,907.5406689083146,1348.2781698524018,1994.0781743868192,2941.1929964225396,4321.401605049668,6306.500255243771,9139.665433822454,13111.560757114443,16954.152363024386,21836.333445168944,27649.972643114812,34365.68908705114,41790.16307885303,49878.68413203833,58054.69738627015,65842.11494957679,72954.27187567609,78893.55676856962,83740.05069412108,87601.25979653253,90475.82536154301,91661.20765509942,91664.46379956629,91402.61397096347,90823.07366219127,89910.10034505778,88678.56096655484,87202.68084906536,85543.5681568269,0.3859328705410963
E06000007,1631.585260822752,2418.5756157644005,3566.9085489432414,5244.029536660064,7678.294640327272,11166.19187987976,16127.076742431778,23059.912599135067,29818.05741858186,38404.577388467675,48629.295661081305,60440.53901011204,73498.3067001013,87723.96569926858,102103.50160546822,115799.59574132095,128308.0771098983,138753.77454290816,147277.52906853912,154068.41789684977,159124.05013737953,161208.83692628998,161214.5637060133,160754.03610346193,159734.77154868358,158129.08288960208,155963.11723561812,153367.41819751056,150449.45928083928,0.6998374282884618
E06000008,508.12531804184334,778.4461646888357,1195.684481651183,1838.2771455420145,2817.530417891727,4283.87350767475,6451.654192342408,9587.057713491053,12396.726844881812,15966.534839960897,20217.416342004024,25127.88879593859,30556.599054513692,36470.854340919774,42449.08335738522,48143.17430844378,53343.52077162126,57686.27374124127,61229.98725423226,64053.2693104996,66155.12627764561,67021.86745436508,67024.24812835004,66832.7858448975,66409.03131843107,65741.47319013215,64840.982574282425,63761.83202656372,62548.70345473859,0.4743556029755109
E06000009,587.8605961187832,900.2608950269574,1382.1734792767757,2123.9883896138226,3253.939039963024,4945.282173666686,7444.87412289448,11059.19037935488,14300.29583523761,18418.26268190145,23321.884821834756,28986.381667067224,35248.692146444904,42071.10637755574,48967.316655604285,55535.75924477961,61534.640387294094,66544.2416029856,70632.10670140825,73888.91621265026,76313.5216123742,77313.35486589411,77316.10024205156,77095.2385082264,76606.41462840224,75836.35004927455,74797.58534688722,73552.72685153384,72153.31795111456,0.8395645741395394
E06000010,987.6254300470725,1554.8539005959337,2464.6343246845695,3912.996770275469,6182.899205371655,9663.016921127915,14908.78201584964,22621.213976167313,29250.789445803126,37673.95565415953,47704.15537006076,59290.69797087307,72100.05174924177,86055.07640614008,100161.05109017728,113596.58656930807,125867.1020703678,136114.07710178554,144475.6728432112,151137.36921130953,156096.82146051727,158141.94731035482,158147.56443129407,157695.79856858653,156695.924983918,155120.7834907312,152996.02417412755,150449.70574508345,147587.2594625149,0.9998733222622282
E06000011,1395.8587584638099,2168.153544693947,3384.52831173192,5291.407802732484,8241.87926947837,12717.583733680856,19405.95700804645,29168.682288801057,37717.1179961665,48578.27967856246,61511.614009864235,76451.75708736322,92968.64160318642,110962.79928526189,129151.5980578253,146475.9053109466,162297.99097719864,175510.8430649011,186292.6134678114,194882.46653152502,201277.379786702,203914.4452467589,203921.68796359692,203339.16382137538,202049.88702240278,200018.83826158976,197279.0893457616,193995.76665207886,190304.8156108371,1.8184888292115435
E06000012,529.0517078505196,845.1489176081828,1361.4343706530165,2195.6761119461917,3518.9544446095742,5567.675000275355,8680.013793187723,13285.276024968009,17178.777974613302,22125.643152127857,28016.306921674117,34821.00019856423,42343.84060318394,50539.52682853667,58823.86379176881,66714.45717424435,73920.84233209303,79938.8171915846,84849.5218328706,88761.88849058858,91674.53930024993,92875.6268278085,92878.92595184917,92613.6071047515,92026.3882698159,91101.31809541526,89853.4633031025,88358.02965557695,86676.93458280861,0.9194266203456104
